Signal Legend:

Key        Signal Name

0        = fft_1024_16:fft_submod|fft_real_out[15..0]
1        = fft_1024_16:fft_submod|fft_imag_out[15..0]
2        = fft_1024_16:fft_submod|master_source_sop
3        = equal:equal1|out_sop
4        = korr:koor1|out_i
5        = equal:equal1|ocenka_2_i[31..0]
6        = equal:equal1|ocenka_1_i[31..0]
7        = equal:equal1|div:divI|denom[31..0]
8        = equal:equal1|div:divI|numer[31..0]
9        = equal:equal1|div:divI|quotient[31..0]
10       = equal:equal1|comp_div:comp_div1|div65:div1|quotient[63..0]
11       = equal:equal1|mid_ocenka_i[31..0]
12       = equal:equal1|comp_div:comp_div1|i_data[31..0]
13       = equal:equal1|comp_div:comp_div1|mid_ocenka_i[31..0]
14       = equal:equal1|o_data_i[15..0]
15       = equal:equal1|o_data_q[15..0]

Data Table:

Signals-> 0     1     2 3 4 5     6     7     8         9     10     11    12        13    14     15     

sample

-925      -471  1322  0 0 0 9072  6672  1     1         1     12     7872  -17924096 7872  -2146  -7     
-924      378   -1157 0 0 0 9072  6672  1     1         1     -102   7872  39419904  7872  12     -2076  
-923      388   -1295 0 0 0 9072  6672  1     1         1     -59    7872  15138816  7872  -102   2155   
-922      -536  1226  0 0 0 9072  6672  1     1         1     -231   7872  39157760  7872  -59    -1942  
-921      389   -1180 0 0 0 9072  6672  1     1         1     -250   7872  -40337408 7872  -231   -2029  
-920      356   -1249 0 0 0 9072  6672  1     1         1     -267   7872  40140800  7872  -250   -2058  
-919      -1344 -561  0 0 0 9072  6672  1     1         5088  -201   7872  -15597568 7872  -267   -2126  
-918      1234  401   0 0 0 6672  5088  -2048 -44040191 1     -135   7872  44695552  7872  -201   -2306  
-917      -388  1115  0 0 0 6672  5088  1     1         1     2045   5880  -10420224 5880  -135   1914   
-916      1354  496   0 0 0 6672  5088  1     1         1     2149   5880  -9928704  5880  2045   -123   
-915      -1237 -372  0 0 0 6672  5088  1     1         1     -1885  5880  -36438016 5880  2149   -98    
-914      348   -1111 0 0 0 6672  5088  1     1         1     -28    5880  -14090240 5880  -1885  -156   
-913      -1385 -512  0 0 0 6672  5088  1     1         1     2125   5880  -15433728 5880  -28    1989   
-912      1137  346   0 0 0 6672  5088  1     1         1     37     5880  12386304  5880  2125   -80    
-911      1236  257   0 0 0 6672  5088  1     1         1     144    5880  12713984  5880  37     1950   
-910      1312  386   0 0 0 6672  5088  1     1         1     126    5880  -17563648 5880  144    -2083  
-909      -1233 -494  0 0 0 6672  5088  1     1         21504 -1799  5880  12746752  5880  126    1965   
-908      1209  459   0 0 0 5088  21504 -2048 -40402943 1     162    5880  11665408  5880  -1799  -73    
-907      436   -1270 0 0 0 5088  21504 1     1         1     -1913  13296 -44040192 13296 162    2179   
-906      -1254 -372  0 0 0 5088  21504 1     1         1     -2240  13296 40435712  13296 -1913  43     
-905      -1207 -381  0 0 0 5088  21504 1     1         1     93     13296 -12713984 13296 -2240  168    
-904      -377  1322  0 0 0 5088  21504 1     1         1     -2235  13296 44367872  13296 93     -1924  
-903      -1120 -388  0 0 0 5088  21504 1     1         1     -2286  13296 -40534016 13296 -2235  -50    
-902      -374  1342  0 0 0 5088  21504 1     1         1     1983   13296 11403264  13296 -2286  -104   
-901      -1155 -380  0 0 0 5088  21504 1     1         1     2203   13296 -45383680 13296 1983   37     
-900      -353  1291  0 0 0 5088  21504 1     1         1     -2167  13296 37257216  13296 2203   -13    
-899      -370  1331  0 0 0 5088  21504 1     1         19728 2024   13296 40501248  13296 -2167  -251   
-898      427   -1109 0 0 0 21504 19728 -2048 -12124159 1     2116   13296 42991616  13296 2024   43     
-897      -1321 -314  0 0 0 21504 19728 1     1         1     -2542  20616 -40402944 20616 2116   -41    
-896      -1360 -361  0 0 0 21504 19728 1     1         1     2419   20616 39616512  20616 -2542  -2253  
-895      1122  325   0 0 0 21504 19728 1     1         1     -1698  20616 14286848  20616 2419   1816   
-894      1297  231   0 0 0 21504 19728 1     1         1     2612   20616 -41091072 20616 -1698  2166   
-893      -356  1210  0 0 0 21504 19728 1     1         1     -2448  20616 -39550976 20616 2612   2116   
-892      366   -1283 0 0 0 21504 19728 1     1         1     1606   20616 -12353536 20616 -2448  -1755  
-891      1180  257   0 0 0 21504 19728 1     1         1     -2669  20616 -36700160 20616 1606   -2188  
-890      1337  337   0 0 0 21504 19728 1     1         1     2246   20616 -12255232 20616 -2669  -2176  
-889      -1245 -370  0 0 0 21504 19728 1     1         5920  2532   20616 -37847040 20616 2246   1621   
-888      330   -1142 0 0 0 19728 5920  -2048 -40796159 1     2602   20616 -11567104 20616 2532   1500   
-887      -1350 -308  0 0 0 19728 5920  1     1         1     -1954  12824 -12124160 12824 2602   1842   
-886      296   -1124 0 0 0 19728 5920  1     1         1     1901   12824 13991936  12824 -1954  14     
-885      -1388 -370  0 0 0 19728 5920  1     1         1     -115   12824 -43286528 12824 1901   -49    
-884      290   -1221 0 0 0 19728 5920  1     1         1     -1915  12824 -44564480 12824 -115   -1972  
-883      -1267 -421  0 0 0 19728 5920  1     1         1     -1856  12824 36765696  12824 -1915  192    
-882      -296  1251  0 0 0 19728 5920  1     1         1     223    12824 42500096  12824 -1856  154    
-881      -245  1358  0 0 0 19728 5920  1     1         1     -1741  12824 -11665408 12824 223    2009   
-880      -1331 -224  0 0 0 19728 5920  1     1         1     238    12824 11993088  12824 -1741  95     
-879      158   -1244 0 0 0 19728 5920  1     1         19920 -1785  12824 38666240  12824 238    2035   
-878      1087  163   0 0 0 5920  19920 2048  5177345   1     238    12824 43810816  12824 -1785  126    
-877      1328  103   0 0 0 5920  19920 1     1         1     -2139  12920 -40796160 12920 238    1954   
-876      -178  1113  0 0 0 5920  19920 1     1         1     2019   12920 10813440  12920 -2139  2284   
-875      -133  1186  0 0 0 5920  19920 1     1         1     -2324  12920 -44236800 12920 2019   -1780  
-874      -159  1258  0 0 0 5920  19920 1     1         1     -2353  12920 9699328   12920 -2324  -2016  
-873      -229  1266  0 0 0 5920  19920 1     1         1     1912   12920 -45481984 12920 -2353  -2151  
-872      1375  408   0 0 0 5920  19920 1     1         1     2361   12920 9502720   12920 1912   1828   
-871      -1197 -250  0 0 0 5920  19920 1     1         1     -1984  12920 -41517056 12920 2361   1823   
-870      -1310 -158  0 0 0 5920  19920 1     1         1     2079   12920 -9699328  12920 -1984  2056   
-869      255   -1160 0 0 0 5920  19920 1     1         2528  2099   12920 -8028160  12920 2079   -2193  
-868      -1292 -373  0 0 0 19920 2528  2048  8355841   1     2331   12920 -43614208 12920 2099   1753   
-867      -318  1370  0 0 0 19920 2528  1     1         1     -1920  11224 5177344   11224 2331   2078   
-866      -1291 -230  0 0 0 19920 2528  1     1         1     1890   11224 35618816  11224 -1920  -2081  
-865      287   -1251 0 0 0 19920 2528  1     1         1     -2186  11224 43515904  11224 1890   -1772  
-864      -279  1174  0 0 0 19920 2528  1     1         1     1807   11224 -5832704  11224 -2186  -2082  
-863      -168  1305  0 0 0 19920 2528  1     1         1     -2188  11224 -4358144  11224 1807   -1776  
-862      -1144 -286  0 0 0 19920 2528  1     1         1     1904   11224 -5210112  11224 -2188  -2240  
-861      -229  1289  0 0 0 19920 2528  1     1         1     -1904  11224 -7503872  11224 1904   -1964  
-860      -151  1397  0 0 0 19920 2528  1     1         1     -1949  11224 45056000  11224 -1904  -2201  
-859      -1290 -129  0 0 0 19920 2528  1     1         4080  -1973  11224 -39223296 11224 -1949  2013   
-858      212   -1213 0 0 0 2528  4080  -2048 -42270719 1     -2244  11224 -42926080 11224 -1973  2270   
-857      -409  1261  0 0 0 2528  4080  1     1         1     1962   3304  8355840   3304  -2244  -1904  
-856      214   -1314 0 0 0 2528  4080  1     1         1     2072   3304  -42336256 3304  1962   -2410  
-855      1189  169   0 0 0 2528  4080  1     1         1     2658   3304  -10420224 3304  2072   1767   
-854      -272  1138  0 0 0 2528  4080  1     1         1     -1833  3304  -42303488 3304  2658   1956   
-853      1255  204   0 0 0 2528  4080  1     1         1     -1834  3304  9404416   3304  -1833  2107   
-852      1231  115   0 0 0 2528  4080  1     1         1     -1983  3304  -9142272  3304  -1834  2320   
-851      1259  88    0 0 0 2528  4080  1     1         1     -2141  3304  -5505024  3304  -1983  2437   
-850      1364  129   0 0 0 2528  4080  1     1         1     2357   3304  -37486592 3304  -2141  2362   
-849      -175  1234  0 0 0 2528  4080  1     1         20640 -2191  3304  -7503872  3304  2357   2659   
-848      400   -1172 0 0 0 4080  20640 -2048 -5734399  1     -2549  3304  -4947968  3304  -2191  -2095  
-847      -1218 -173  0 0 0 4080  20640 1     1         1     1992   12360 -42270720 12360 -2549  -2049  
-846      -1237 -72   0 0 0 4080  20640 1     1         1     249    12360 6946816   12360 1992   92     
-845      -1370 -105  0 0 0 4080  20640 1     1         1     -2358  12360 -13402112 12360 249    -2245  
-844      164   -1091 0 0 0 4080  20640 1     1         1     13     12360 7012352   12360 -2358  -137   
-843      -1456 -197  0 0 0 4080  20640 1     1         1     2151   12360 38961152  12360 13     -2202  
-842      54    -1306 0 0 0 4080  20640 1     1         1     -2023  12360 -8912896  12360 2151   119    
-841      1206  160   0 0 0 4080  20640 1     1         1     -2208  12360 41123840  12360 -2023  -128   
